"Date","SP500","NASDAQ","DowJones","FTSE100","DAX","CAC40","Nikkei225","HangSeng","SSEComposite","KOSPI","Sensex"
2005-11-30,1249.47998046875,2232.82006835938,10805.8701171875,5423.2001953125,5193.39990234375,4567.41015625,14872.150390625,14937.1396484375,1099.26098632812,1297.43994140625,8788.8095703125
2005-12-31,1248.2900390625,2205.32006835938,10717.5,5618.7998046875,5408.259765625,4715.22998046875,16111.4296875,14876.4296875,1161.05700683594,1379.36999511719,9397.9296875
2006-01-31,1280.07995605469,2305.82006835938,10864.8603515625,5760.2998046875,5674.14990234375,4947.990234375,16649.8203125,15753.1396484375,1258.04602050781,1399.82995605469,9919.8896484375
2006-02-28,1280.66003417969,2281.38989257812,10993.41015625,5791.5,5796.0400390625,5000.4501953125,16205.4296875,15918.48046875,1299.03002929688,1371.58996582031,10370.240234375
2006-03-31,1294.86999511719,2339.7900390625,11109.3203125,5964.60009765625,5970.080078125,5220.85009765625,17059.66015625,15805.0400390625,1298.29504394531,1359.59997558594,11279.9599609375
2006-04-30,1310.60998535156,2322.57006835938,11367.1396484375,6023.10009765625,6009.89013671875,5188.39990234375,16906.23046875,16661.30078125,1440.22302246094,1419.72998046875,11851.9296875
2006-05-31,1270.08996582031,2178.8798828125,11168.3095703125,5723.7998046875,5692.85986328125,4930.18017578125,15467.330078125,15857.8896484375,1641.30004882812,NA,10398.6103515625
2006-06-30,1270.19995117188,2172.09008789062,11150.2197265625,5833.39990234375,5683.31005859375,4965.9599609375,15505.1796875,16267.6201171875,1672.21105957031,1295.15002441406,10609.25
2006-07-31,1276.66003417969,2091.46997070312,11185.6796875,5928.2998046875,5681.97021484375,5009.419921875,15456.8095703125,16971.33984375,1612.73303222656,1297.81994628906,10743.8798828125
2006-08-31,1303.81994628906,2183.75,11381.150390625,5906.10009765625,5859.56982421875,5165.0400390625,16140.759765625,17392.26953125,1658.63793945312,1352.73999023438,11699.0498046875
2006-09-30,1335.84997558594,2258.42993164062,11679.0703125,5960.7998046875,6004.330078125,5250.009765625,16127.580078125,17543.05078125,1752.42395019531,1371.41003417969,12454.419921875
2006-10-31,1377.93994140625,2366.7099609375,12080.73046875,6129.2001953125,6268.919921875,5348.72998046875,16399.390625,18324.349609375,1837.99304199219,1364.55004882812,12961.900390625
2006-11-30,1400.63000488281,2431.77001953125,12221.9296875,6048.89990234375,6309.18994140625,5327.64013671875,16274.330078125,18960.48046875,2099.2890625,1432.2099609375,13696.3095703125
2006-12-31,1418.30004882812,2415.2900390625,12463.150390625,6220.7998046875,6596.919921875,5541.759765625,17225.830078125,19964.720703125,2675.47412109375,1434.4599609375,13786.91015625
2007-01-31,1438.23999023438,2463.92993164062,12621.6904296875,6203.10009765625,6789.10986328125,5608.31005859375,17383.419921875,20106.419921875,2786.3349609375,1360.22998046875,14090.919921875
2007-02-28,1406.81994628906,2416.14990234375,12268.6298828125,6171.5,6715.43994140625,5516.31982421875,17604.119140625,19651.509765625,2881.07299804688,1417.33996582031,12938.08984375
2007-03-31,1420.85998535156,2421.63989257812,12354.349609375,6308,6917.02978515625,5634.16015625,17287.650390625,19800.9296875,3183.98291015625,1452.55004882812,13072.099609375
2007-04-30,1482.36999511719,2525.09008789062,13062.91015625,6449.2001953125,7408.8701171875,5960.0400390625,17400.41015625,20318.98046875,3841.27197265625,1542.23999023438,13872.3701171875
